city,year,type,n
Las Vegas,1981,Total Violent Crime,1142.25329614293
"Long Beach, Calif.",1981,Total Violent Crime,1249.71002033269
Los Angeles,1981,Total Violent Crime,1742.54146198232
"Los Angeles County, Calif.",1981,Total Violent Crime,1151.48100758169
"Louisville, Ky.",1981,Total Violent Crime,NA
"Memphis, Tenn.",1981,Total Violent Crime,1078.74073530491
"Mesa, Ariz.",1981,Total Violent Crime,481.353245724011
Miami,1981,Total Violent Crime,3142.67773747386
"Miami-Dade County, Fla.",1981,Total Violent Crime,1549.87235273175
Milwaukee,1981,Total Violent Crime,533.570198608416
Minneapolis,1981,Total Violent Crime,1041.62195802395
"Montgomery County, Md.",1981,Total Violent Crime,325.059717410206
"Nashville, Tenn.",1981,Total Violent Crime,673.385249656436
"Nassau County, N.Y.",1981,Total Violent Crime,161.995695922318
National,1981,Total Violent Crime,593.5
New Orleans,1981,Total Violent Crime,1420.32387092035
New York City,1981,Total Violent Crime,2219.75215365291
"Newark, N.J.",1981,Total Violent Crime,3702.52384701845
"Oakland, Calif.",1981,Total Violent Crime,2023.37405387995
Oklahoma City,1981,Total Violent Crime,995.843415202534
"Omaha, Neb.",1981,Total Violent Crime,490.270469488948
"Orlando, Fla.",1981,Total Violent Crime,1747.26828262598
Philadelphia,1981,Total Violent Crime,1044.32327069528
Phoenix,1981,Total Violent Crime,794.859764296847
Pittsburgh,1981,Total Violent Crime,1405.67438538456
"Portland, Ore.",1981,Total Violent Crime,1746.05837875286
"Prince George's County, Md.",1981,Total Violent Crime,987.023939449775
"Raleigh, N.C.",1981,Total Violent Crime,475.670669180642
"Sacramento, Calif.",1981,Total Violent Crime,1254.19543451574
Salt Lake City,1981,Total Violent Crime,748.599328149814
San Antonio,1981,Total Violent Crime,566.786620862281
San Diego,1981,Total Violent Crime,734.209322031067
San Francisco,1981,Total Violent Crime,1735.46291533496
San Jose,1981,Total Violent Crime,639.24518821444
Seattle,1981,Total Violent Crime,1074.8525403169
"St. Louis, Mo.",1981,Total Violent Crime,2281.9850010789
"Suffolk County, N.Y.",1981,Total Violent Crime,142.783672004526
"Tampa, Fla.",1981,Total Violent Crime,1987.18173221728
"Tucson, Ariz.",1981,Total Violent Crime,824.083170813965
"Tulsa, Okla.",1981,Total Violent Crime,729.235310456004
"Virginia Beach, Va.",1981,Total Violent Crime,228.073344774636
"Washington, D.C.",1981,Total Violent Crime,2274.8427672956
"Wichita, Kan.",1981,Total Violent Crime,612.111235020268
"Albuquerque, N.M.",1982,Total Violent Crime,770.809538441915
"Arlington, Texas",1982,Total Violent Crime,349.209819296863
Atlanta,1982,Total Violent Crime,2377.22255346257
"Aurora, Colo.",1982,Total Violent Crime,839.864283666253
"Austin, Texas",1982,Total Violent Crime,413.683974606501
Baltimore,1982,Total Violent Crime,2090.14313903593
